cluster_name,broad_sector,companies
Defensive Dividend Payers,Financials,7
Distressed / Turnaround,Financials,8
Distressed / Turnaround,Energy,1
Emerging Growth,Financials,6
Emerging Growth,Consumer Discretionary,2
Emerging Growth,Materials,2
Emerging Growth,Communication Services,1
Emerging Growth,Consumer Staples,1
Emerging Growth,Energy,1
Emerging Growth,Healthcare,1
Emerging Growth,Industrials,1
High-Quality Compounders,Industrials,2
Value Cyclicals,Consumer Discretionary,12
Value Cyclicals,Energy,12
Value Cyclicals,Industrials,7
Value Cyclicals,Materials,7
Value Cyclicals,Consumer Staples,6
Value Cyclicals,Healthcare,5
Value Cyclicals,Information Technology,5
Value Cyclicals,Financials,2
Value Cyclicals,Real Estate,2
Value Cyclicals,Communication Services,1
