company_id,from_year,to_year,previous_pattern,current_pattern
ADANIENSOL,Mar 2014,Mar 2015,Cash Accumulator,Growth Funded by Debt
ADANIENSOL,Mar 2015,Mar 2016,Growth Funded by Debt,Reinvestor
ADANIENSOL,Mar 2017,Mar 2018,Reinvestor,Mixed
ADANIENSOL,Mar 2020,Mar 2021,Mixed,Reinvestor
ADANIENSOL,Mar 2022,Mar 2023,Reinvestor,Mixed
ADANIENSOL,Mar 2023,Mar 2024,Mixed,Reinvestor
ADANIENT,Mar 2013,Mar 2014,Mixed,Reinvestor
ADANIENT,Mar 2014,Mar 2015,Reinvestor,Mixed
ADANIENT,Mar 2015,Mar 2016,Mixed,Reinvestor
ADANIENT,Mar 2016,Mar 2017,Reinvestor,Mixed
ADANIENT,Mar 2018,Mar 2019,Mixed,Liquidating Assets
ADANIENT,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
ADANIENT,Mar 2020,Mar 2021,Reinvestor,Mixed
ADANIENT,Mar 2022,Mar 2023,Mixed,Reinvestor
ADANIENT,Mar 2023,Mar 2024,Reinvestor,Mixed
ADANIGREEN,Mar 2022,Mar 2023,Mixed,Reinvestor
ADANIGREEN,Mar 2023,Mar 2024,Reinvestor,Mixed
ADANIPORTS,Mar 2014,Mar 2015,Mixed,Reinvestor
ADANIPORTS,Mar 2015,Mar 2016,Reinvestor,Mixed
ADANIPORTS,Mar 2016,Mar 2017,Mixed,Reinvestor
ADANIPORTS,Mar 2018,Mar 2019,Reinvestor,Mixed
ADANIPORTS,Mar 2019,Mar 2020,Mixed,Reinvestor
ADANIPORTS,Mar 2020,Mar 2021,Reinvestor,Mixed
ADANIPORTS,Mar 2021,Mar 2022,Mixed,Reinvestor
ADANIPOWER,Mar 2014,Mar 2015,Mixed,Reinvestor
ADANIPOWER,Mar 2021,Mar 2022,Reinvestor,Liquidating Assets
AMBUJACEM,Dec 2021,Mar 2023,Reinvestor,Mixed
APOLLOHOSP,Mar 2013,Mar 2014,Mixed,Reinvestor
APOLLOHOSP,Mar 2014,Mar 2015,Reinvestor,Mixed
APOLLOHOSP,Mar 2017,Mar 2018,Mixed,Reinvestor
ATGL,Mar 2018,Mar 2019,Mixed,Liquidating Assets
ATGL,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
ATGL,Mar 2020,Mar 2021,Reinvestor,Mixed
ATGL,Mar 2023,Mar 2024,Mixed,Reinvestor
AXISBANK,Mar 2014,Mar 2015,Mixed,Growth Funded by Debt
AXISBANK,Mar 2015,Mar 2016,Growth Funded by Debt,Distress Signal
AXISBANK,Mar 2016,Mar 2017,Distress Signal,Reinvestor
AXISBANK,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
AXISBANK,Mar 2018,Mar 2019,Growth Funded by Debt,Mixed
AXISBANK,Mar 2023,Mar 2024,Mixed,Growth Funded by Debt
BAJAJ-AUTO,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
BAJAJ-AUTO,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
BAJAJ-AUTO,Mar 2021,Mar 2022,Reinvestor,Liquidating Assets
BAJAJ-AUTO,Mar 2023,Mar 2024,Liquidating Assets,Reinvestor
BAJAJFINSV,Mar 2015,Mar 2016,Distress Signal,Growth Funded by Debt
BAJAJFINSV,Mar 2016,Mar 2017,Growth Funded by Debt,Distress Signal
BAJAJFINSV,Mar 2017,Mar 2018,Distress Signal,Growth Funded by Debt
BAJAJFINSV,Mar 2020,Mar 2021,Growth Funded by Debt,Mixed
BAJAJFINSV,Mar 2021,Mar 2022,Mixed,Distress Signal
BAJAJFINSV,Mar 2022,Mar 2023,Distress Signal,Growth Funded by Debt
BAJAJHLDNG,Mar 2015,Mar 2016,Reinvestor,Liquidating Assets
BAJAJHLDNG,Mar 2016,Mar 2017,Liquidating Assets,Pre-Revenue
BAJAJHLDNG,Mar 2017,Mar 2018,Pre-Revenue,Reinvestor
BAJFINANCE,Mar 2017,Mar 2018,Growth Funded by Debt,Distress Signal
BAJFINANCE,Mar 2018,Mar 2019,Distress Signal,Growth Funded by Debt
BAJFINANCE,Mar 2021,Mar 2022,Growth Funded by Debt,Distress Signal
BAJFINANCE,Mar 2022,Mar 2023,Distress Signal,Growth Funded by Debt
BANKBARODA,Mar 2013,Mar 2014,Reinvestor,Mixed
BANKBARODA,Mar 2014,Mar 2015,Mixed,Reinvestor
BANKBARODA,Mar 2015,Mar 2016,Reinvestor,Pre-Revenue
BANKBARODA,Mar 2016,Mar 2017,Pre-Revenue,Reinvestor
BANKBARODA,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
BANKBARODA,Mar 2019,Mar 2020,Growth Funded by Debt,Mixed
BANKBARODA,Mar 2020,Mar 2021,Mixed,Pre-Revenue
BANKBARODA,Mar 2021,Mar 2022,Pre-Revenue,Reinvestor
BANKBARODA,Mar 2022,Mar 2023,Reinvestor,Pre-Revenue
BANKBARODA,Mar 2023,Mar 2024,Pre-Revenue,Growth Funded by Debt
BEL,Mar 2014,Mar 2015,Other,Reinvestor
BEL,Mar 2016,Mar 2017,Reinvestor,Other
BEL,Mar 2017,Mar 2018,Other,Pre-Revenue
BEL,Mar 2018,Mar 2019,Pre-Revenue,Reinvestor
BEL,Mar 2022,Mar 2023,Reinvestor,Liquidating Assets
BEL,Mar 2023,Mar 2024,Liquidating Assets,Reinvestor
BHARTIARTL,Mar 2013,Mar 2014,Reinvestor,Mixed
BHARTIARTL,Mar 2014,Mar 2015,Mixed,Reinvestor
BHARTIARTL,Mar 2017,Mar 2018,Reinvestor,Mixed
BHARTIARTL,Mar 2020,Mar 2021,Mixed,Reinvestor
BHEL,Mar 2014,Mar 2015,Mixed,Liquidating Assets
BHEL,Mar 2016,Mar 2017,Liquidating Assets,Reinvestor
BHEL,Mar 2017,Mar 2018,Reinvestor,Liquidating Assets
BHEL,Mar 2018,Mar 2019,Liquidating Assets,Other
BHEL,Mar 2019,Mar 2020,Other,Distress Signal
BHEL,Mar 2020,Mar 2021,Distress Signal,Reinvestor
BHEL,Mar 2022,Mar 2023,Reinvestor,Distress Signal
BOSCHLTD,Mar 2016,Mar 2017,Reinvestor,Liquidating Assets
BOSCHLTD,Mar 2017,Mar 2018,Liquidating Assets,Reinvestor
BOSCHLTD,Mar 2018,Mar 2019,Reinvestor,Liquidating Assets
BOSCHLTD,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
BOSCHLTD,Mar 2022,Mar 2023,Reinvestor,Liquidating Assets
BPCL,Mar 2016,Mar 2017,Reinvestor,Mixed
BPCL,Mar 2017,Mar 2018,Mixed,Reinvestor
BPCL,Mar 2018,Mar 2019,Reinvestor,Mixed
BPCL,Mar 2020,Mar 2021,Mixed,Reinvestor
BRITANNIA,Mar 2013,Mar 2014,Liquidating Assets,Reinvestor
BRITANNIA,Mar 2019,Mar 2020,Reinvestor,Mixed
BRITANNIA,Mar 2020,Mar 2021,Mixed,Liquidating Assets
BRITANNIA,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
BRITANNIA,Mar 2023,Mar 2024,Reinvestor,Liquidating Assets
CANBK,Mar 2016,Mar 2017,Reinvestor,Mixed
CANBK,Mar 2017,Mar 2018,Mixed,Growth Funded by Debt
