company_id,year,return_on_equity_pct,return_on_capital_employed_pct,roe_percentage,roce_percentage,roe_difference,roce_difference,category
ABB,Dec 2012,22.41,31.22,34.9,46.0,12.489999999999998,14.780000000000001,Formula Discrepancy
ABB,Mar 2014,25.13,33.88,34.9,46.0,9.77,12.119999999999997,Formula Discrepancy
ABB,Mar 2015,24.44,33.3,34.9,46.0,10.459999999999997,12.700000000000003,Formula Discrepancy
ABB,Mar 2016,21.34,30.54,34.9,46.0,13.559999999999999,15.46,Formula Discrepancy
ABB,Mar 2017,19.97,28.7,34.9,46.0,14.93,17.3,Formula Discrepancy
ABB,Mar 2018,23.69,31.01,34.9,46.0,11.209999999999997,14.989999999999998,Formula Discrepancy
ABB,Mar 2019,22.41,30.13,34.9,46.0,12.489999999999998,15.870000000000001,Formula Discrepancy
ABB,Mar 2020,24.39,29.05,34.9,46.0,10.509999999999998,16.95,Formula Discrepancy
ABB,Mar 2021,26.56,33.47,34.9,46.0,8.34,12.530000000000001,Formula Discrepancy
ABB,Mar 2022,28.33,36.41,34.9,46.0,6.57,9.590000000000003,Formula Discrepancy
ABB,Mar 2023,29.77,36.53,34.9,46.0,5.129999999999999,9.469999999999999,Formula Discrepancy
ABB,Mar 2024,32.47,38.42,34.9,46.0,2.4299999999999997,7.579999999999998,Version Difference
ADANIENSOL,Mar 2014,0.0,0.0,8.59,9.0,8.59,9.0,Formula Discrepancy
ADANIENSOL,Mar 2015,-0.65,0.94,8.59,9.0,9.24,8.06,Formula Discrepancy
ADANIENSOL,Mar 2016,13.77,17.12,8.59,9.0,5.18,8.120000000000001,Formula Discrepancy
ADANIENSOL,Mar 2017,14.12,16.63,8.59,9.0,5.529999999999999,7.629999999999999,Formula Discrepancy
ADANIENSOL,Mar 2018,18.87,17.14,8.59,9.0,10.280000000000001,8.14,Formula Discrepancy
ADANIENSOL,Mar 2021,14.46,10.97,8.59,9.0,5.870000000000001,1.9700000000000006,Version Difference
ADANIENT,Mar 2013,5.69,6.64,13.64,11.6,7.95,4.96,Version Difference
ADANIENT,Mar 2016,7.47,5.17,13.64,11.6,6.170000000000001,6.43,Formula Discrepancy
ADANIENT,Mar 2017,6.54,5.44,13.64,11.6,7.1000000000000005,6.159999999999999,Formula Discrepancy
ADANIENT,Mar 2018,3.94,6.23,13.64,11.6,9.700000000000001,5.369999999999999,Formula Discrepancy
ADANIENT,Mar 2019,3.43,7.57,13.64,11.6,10.21,4.029999999999999,Version Difference
ADANIENT,Mar 2020,6.14,7.81,13.64,11.6,7.500000000000001,3.79,Version Difference
ADANIENT,Mar 2021,6.1,7.51,13.64,11.6,7.540000000000001,4.09,Version Difference
ADANIENT,Mar 2022,3.54,5.82,13.64,11.6,10.100000000000001,5.779999999999999,Formula Discrepancy
ADANIENT,Mar 2023,7.33,10.22,13.64,11.6,6.3100000000000005,1.379999999999999,Version Difference
ADANIENT,Mar 2024,8.53,10.9,13.64,11.6,5.110000000000001,0.6999999999999993,Version Difference
ADANIGREEN,Mar 2017,-3.91,7.26,14.7,96.5,18.61,89.24,Data Source Issue
ADANIGREEN,Mar 2018,-10.29,7.52,14.7,96.5,24.99,88.98,Data Source Issue
ADANIGREEN,Mar 2019,-24.57,11.67,14.7,96.5,39.269999999999996,84.83,Data Source Issue
ADANIGREEN,Mar 2020,-2.89,8.42,14.7,96.5,17.59,88.08,Data Source Issue
ADANIGREEN,Mar 2021,8.27,8.49,14.7,96.5,6.43,88.01,Data Source Issue
ADANIGREEN,Mar 2022,18.71,6.33,14.7,96.5,4.010000000000002,90.17,Data Source Issue
ADANIGREEN,Mar 2023,13.32,8.08,14.7,96.5,1.379999999999999,88.42,Data Source Issue
ADANIGREEN,Mar 2024,12.81,9.8,14.7,96.5,1.8899999999999988,86.7,Data Source Issue
ADANIPORTS,Mar 2013,25.63,13.22,18.1,12.9,7.529999999999998,0.3200000000000003,Version Difference
ADANIPORTS,Mar 2022,11.84,10.62,18.1,12.9,6.260000000000002,2.280000000000001,Version Difference
ADANIPORTS,Mar 2023,11.88,11.08,18.1,12.9,6.220000000000001,1.8200000000000003,Version Difference
ADANIPOWER,Mar 2013,-53.46,2.08,57.1,32.2,110.56,30.120000000000005,Data Source Issue
ADANIPOWER,Mar 2014,-4.45,9.06,57.1,32.2,61.550000000000004,23.14,Data Source Issue
ADANIPOWER,Mar 2015,-14.25,9.27,57.1,32.2,71.35,22.930000000000003,Data Source Issue
ADANIPOWER,Mar 2016,7.38,14.62,57.1,32.2,49.72,17.580000000000005,Data Source Issue
ADANIPOWER,Mar 2017,-205.8,10.78,57.1,32.2,262.90000000000003,21.42,Data Source Issue
ADANIPOWER,Mar 2018,-236.56,10.12,57.1,32.2,293.66,22.080000000000005,Data Source Issue
ADANIPOWER,Mar 2019,-12.76,9.11,57.1,32.2,69.86,23.090000000000003,Data Source Issue
ADANIPOWER,Mar 2020,-35.1,9.3,57.1,32.2,92.2,22.900000000000002,Data Source Issue
ADANIPOWER,Mar 2021,9.69,13.24,57.1,32.2,47.410000000000004,18.96,Data Source Issue
ADANIPOWER,Mar 2022,26.61,14.62,57.1,32.2,30.490000000000002,17.580000000000005,Data Source Issue
ADANIPOWER,Mar 2023,35.91,13.98,57.1,32.2,21.190000000000005,18.220000000000002,Data Source Issue
ADANIPOWER,Mar 2024,48.28,23.44,57.1,32.2,8.82,8.760000000000002,Formula Discrepancy
AMBUJACEM,Dec 2012,14.69,27.92,9.24,12.8,5.449999999999999,15.120000000000001,Formula Discrepancy
AMBUJACEM,Dec 2014,14.77,19.14,9.24,12.8,5.529999999999999,6.34,Formula Discrepancy
AMBUJACEM,Dec 2017,9.41,18.64,9.24,12.8,0.16999999999999993,5.84,Version Difference
AMBUJACEM,Dec 2018,13.29,17.9,9.24,12.8,4.049999999999999,5.099999999999998,Version Difference
AMBUJACEM,Dec 2019,11.56,19.06,9.24,12.8,2.3200000000000003,6.259999999999998,Version Difference
AMBUJACEM,Dec 2020,13.65,21.55,9.24,12.8,4.41,8.75,Version Difference
AMBUJACEM,Dec 2021,14.64,24.04,9.24,12.8,5.4,11.239999999999998,Formula Discrepancy
APOLLOHOSP,Mar 2016,7.05,11.09,13.81,17.2,6.760000000000001,6.109999999999999,Formula Discrepancy
APOLLOHOSP,Mar 2017,3.95,11.4,13.81,17.2,9.86,5.799999999999999,Formula Discrepancy
APOLLOHOSP,Mar 2018,1.85,11.99,13.81,17.2,11.96,5.209999999999999,Formula Discrepancy
APOLLOHOSP,Mar 2019,6.0,15.27,13.81,17.2,7.8100000000000005,1.9299999999999997,Version Difference
APOLLOHOSP,Mar 2020,12.93,22.94,13.81,17.2,0.8800000000000008,5.740000000000002,Version Difference
APOLLOHOSP,Mar 2021,2.98,13.01,13.81,17.2,10.83,4.1899999999999995,Version Difference
APOLLOHOSP,Mar 2022,19.7,22.59,13.81,17.2,5.889999999999999,5.390000000000001,Formula Discrepancy
ASIANPAINT,Mar 2013,34.28,47.79,31.45,41.75,2.830000000000002,6.039999999999999,Version Difference
ASIANPAINT,Mar 2017,26.51,36.67,31.45,41.75,4.939999999999998,5.079999999999998,Version Difference
